DATE,HASH,AVAST,AVG,CLAMAV,MSDEFENDER
14-Jan-23,9fcb439ca40f237f17fb3b1f8a4d63e1a4d0f88eb7c42060a3473137d239f8b2,Win32:Trojan-gen,,Win.Malware.Bzub-9969513-0,VirTool:Win32/Injector.EG
14-Jan-23,f89f8bb5b6e6ab542b67b2475cb3580274c7dbb1b15814df7c609f19a7c65904,Win32:Evo-gen\ [Trj],,Win.Malware.Autoit-6981134-0,TrojanDropper:Win32/Pistolar.AA!MTB
11-Jan-23,a0d012cc5b66c17f6788899fcb67ca334f3b35f78985d16aab2f5ce7dd1b0000,,,,
10-Jan-23,67197840d861ee7964ff9cf39fc2f9ab2a42ba3b636470788f783138197451d9,Win32:BankerX-gen\ [Trj],,Win.Malware.Cridex-9803856-0,Trojan:Win32/Dridex.OQ!MTB
9-Jan-23,cbadbe87bc27d1627166e618acf18274477867d5ffc18620c8334ed84a392913,Win32:Pioneer-C,,Win.Virus.Pioneer-9111434-0,Worm:Win32/Mofksys.RND!MTB
9-Jan-23,9d646f0ff10a34cb28de8ccbe0fb34094f956ab53332b3602aece3a3329f07eb,,,Win.Malware.Agent-6598770-0,ALF:HeraklezEval:SoftwareBundler:Win32/InstallMonster
9-Jan-23,5eef3f0266673b8e4e416035dec396e0e9e8ac3a924aea5e9cb0e7804a2e5b71,Win32:Buterat-WQ\ [Trj],,Win.Malware.Ulise-7170100-0,Trojan:Win32/Neconyd.A
9-Jan-23,2badca6623fafe4271572d888dfac596c111edad666a935d50284cc6f473d951,Win32:Pioneer-C,,Win.Malware.Swisyn-7610494-0,PWS:Win32/VB.CU
9-Jan-23,468bb4c23bb41bcc139602aa7ed5313a9b3e3e03a6bc3c085f0bb47efe6ce3e9,,,,#Lowfi:HSTR:Win32/Obfuscator.Zprotect
9-Jan-23,ac22360cc7e1c25ca033dc552464038aa50e67901c67b3d966a2398e254c4555,Win32:Malware-gen,,,
8-Jan-23,883967eb618041d7f5052433439f9473a438c5b1cd19b8192fdb4948f08eb713,,,,
2-Jan-23,d2e6dbe7583d2cbfa03ec37ba838ca96a2ff1db70bcb38b5f4e2e6f27b582d04,,,,
2-Jan-23,bd0c88b1259ee8eb85b014ceca753867837cb4a3feb4f58cb53b277e3af685b5,,,Win.Packed.Zusy-9837875-0,ALF:HeraklezEval:PUA:Win32/Amonetize
1-Jan-23,1b2526cd74308c24f1545847388f81ebf470430ba1cfecb1208d35c17e8a4050,Win32:Pioneer-C,,Win.Virus.Pioneer-9111434-0,Worm:Win32/Mofksys.RND!MTB
25-Dec-22,5ab67977efbeb533b83bfe174d3fbaa3a014e2fafbbba1f41618b1a463df906c,Win32:Pioneer-C,,Win.Virus.Pioneer-9111434-0,Worm:Win32/Mofksys.RND!MTB
24-Dec-22,50fc9c94fc7eddc9a571381e636f3763a8a181852491a39bbabd742063f6c43c,Win32:Agent-JOL\ [Trj],,Win.Spyware.7826-2,ALF:HeraklezEval:Backdoor:Win32/Rbot
24-Dec-22,1baa6ba9414005af0c9257e1fd88cb0f93bfd8998a77f60ab161bab96a5a397f,Win32:VB-AJKP\ [Trj],,Win.Malware.Swisyn-7610494-0,PWS:Win32/Ymacco.AA50
21-Dec-22,82f3dbeb64729dc4bdf62a5d892f17ac0a3f43f41c2f9d7bdc07fe36a1f014f8,Win32:Malware-gen,,,
21-Dec-22,ce7bdcac94993d1481de8b9c3d290033bc033340dac98d6f683ab9be5077a346,,,Win.Trojan.Generic-9918311-0,
21-Dec-22,ddd9896d09dcaeea78166b80ede0cce46d20883066d730c47cf8bc0bdc99b234,Win32:VB-AJKP\ [Trj],,Win.Malware.Swisyn-7610494-0,PWS:Win32/VB.CU
20-Dec-22,1fb8f2e3a2b3aeeebd5f8a9e9ab1ddb56ef456633949dbe8a1e983a0330bcec1,Win32:Pioneer-C,,Win.Virus.Pioneer-9111434-0,Worm:Win32/Mofksys.RND!MTB
18-Dec-22,4da08703fa23be32fff6aa6f8c843b5f5fea5aff5ca826f52442fe1081c84f44,,,,
18-Dec-22,c260a2391a91d11f4e30162a087b7579a6ca50a0d7c0f35b90cf1e14135e2786,Win32:RansomX-gen\ [Ransom],,Win.Malware.Generickdz-9938530-0,Trojan:Win32/Zombie.A
17-Dec-22,2945deb63e1bfd6c5e63e0d708dbac5db70c939e5cb467cc74c810df48390beb,Win32:Pioneer-C,,Win.Virus.Pioneer-9111434-0,Worm:Win32/Mofksys.RND!MTB
17-Dec-22,6bf3c0f6841ee85dd8ad8788cd2a4fcb71c4335efe5773634eeec7e93852e403,Win32:Evo-gen\ [Trj],,Win.Malware.Generic-9820446-0,
17-Dec-22,87f44f04fea6aeb9501c4fcfdc5da95bc0df3039256eaab014d7004f02c29743,Win32:Evo-gen\ [Trj],,Win.Trojan.Agent-358439,TrojanSpy:Win32/PKeylog
16-Dec-22,d57a9a8876c77b31186e91edef98c2b8810dbedc2b2d0295e9ca6e8c0d6f924e,Win32:VB-AJKP\ [Trj],,Win.Malware.Swisyn-7610494-0,PWS:Win32/Ymacco.AA50
15-Dec-22,17b74a31509e21152be5e61022192ed89165216fd79d2d9d294cd0a683837882,Win32:VB-AJKU\ [Trj],,Win.Trojan.Generic-9959068-0,TrojanDropper:Win32/Muldrop.V!MTB
15-Dec-22,8f1ed948dcbf6ce98c1e94113f982fed558f1f4075b4ef35a88dffcac305f481,Win32:Trojan-gen,,Win.Malware.Lebreat-6840862-0,Trojan:Win32/Small.DH
14-Dec-22,ceb08d36b9832383b3e71a49e47eebe9e39af346e3251a0baf907aaffc925b5d,Win32:CrypterX-gen\ [Trj],,,
14-Dec-22,9a6ba3f0c7c223dea74bb0a89004b36097b6983cc187d76a58fdfc9e5683f88a,Win32:RansomX-gen\ [Ransom],,Win.Malware.Generickdz-9938530-0,Trojan:Win32/Zombie.A
13-Dec-22,d35720ec26177eb3550b8daa805315396c86d359af146757e6dd159fd35d6d18,Win32:Malware-gen,,Win.Malware.Convagent-9979654-0,
13-Dec-22,01130df94c760c8d405eca8064fae304ccca42a172da3fb826ef800429b48df1,Win32:Malware-gen,,,
13-Dec-22,25b29ddf124b8803453323560c19a34fc3aae953a7f68b4fa2c31d979a5f7fe5,Win32:Pioneer-C,,Win.Virus.Pioneer-9111434-0,Worm:Win32/Mofksys.RND!MTB
13-Dec-22,3a55a81fece7f1b02c3eb17a73aeb458775b56ab5f0ef2f841d1bd76ab74c8bb,,,,
12-Dec-22,96972d6369b40dd098004a33ab22dacd6dad8d494b2b24e6dd7dd2de50bb588d,,,,
12-Dec-22,6c611ff07b05e65f617d1d2ea85e744d12d93d095c2bc68cd2d64aa459db0bf4,Win32:Evo-gen\ [Trj],,Win.Malware.Genkryptik-9839711-0,
